Title,Abstract
Anomaly detection for early ransomware and spyware warning in nuclear power plant systems based on FusionGuard,"Securing critical infrastructure, particularly nuclear power plants, against emerging cyber threats necessitates innovative cybersecurity approaches. This research introduces FusionGuard, a hybrid machine learning-based anomaly detection system designed for early warnings of ransomware and spyware intrusions within nuclear power plant systems. Meticulously tailored to the unique characteristics of nuclear power plant networks, FusionGuard leverages diverse datasets encompassing normal operational behavior and historical threat data. Through cutting-edge machine learning algorithms, the system dynamically adapts to the network's baseline behavior, effectively identifying deviations indicative of ransomware or spyware activities. Rigorous experimentation and validation using real-world data and simulated attack scenarios affirm FusionGuard's proficiency in detecting anomalous behavior with remarkable accuracy and minimal false positives. The research also explores the system's scalability and adaptability to evolving attack vectors, fortifying the cybersecurity posture of nuclear power plant systems in a dynamic threat landscape. In summary, FusionGuard promises to fortify the security of nuclear power plant systems against ransomware and spyware threats by capitalizing on machine learning and anomaly detection. Serving as a sentinel, the system issues timely alerts and enables proactive responses, contributing substantively to the ongoing discourse on protecting essential systems in high-stakes environments."
Intelligent planning of controllers for improved resilience in multi-area system involving nuclear power,"Increased innovation on finding new ways to generate energy from different sources to meet the growing demand of consumers has led to various challenges in controlling the power network when it faces different disruptions. To address these challenges, a new approach has been proposed in this research paper, which combines a controller with a soft computing technique called Particle Swarm Optimization (PSO). The study considers a power system with four units, where three different energy sources are utilized and distributed across two areas. Each area has two power sources, with one area having a combination of thermal and gas power plants, and the other area consisting of a nuclear power plant and a gas power plant. Transmitting power from the nuclear power plant is particularly complex due to its high sensitivity to disturbances. Therefore, an intelligent and efficient controller is needed to ensure robust control in this type of power network that includes nuclear power. The paper also conducts a thorough analysis of the harmful emissions associated with electricity generation from the different power plants considered. The goal is to reduce the carbon footprint associated with power generation. The proposed work and analysis in the paper are implemented using the MATLAB/SIMULINK environment."
Fire simulation in the main control room of Bushehr nuclear power plant using CFAST software,"Fire protection is one of the most important issues to ensure safety and reduce risks of nuclear power plants. The main control room (MCR) is one of the parts of a nuclear power plant that is often identified with a high risk of fire in safety assessments. Although robust programs to shut down commercial reactors in any fires have been successfully maintained, the purpose of this paper is to simulate the fire in the MCR of Bushehr nuclear power plant unit‑1 (BNPP-1) using CFAST software. CFAST is a two-zone fire model used to calculate the evolving distribution of smoke, fire gases, and temperature throughout the compartments of a building during a fire. The data required for simulation have been extracted from final safety analysis reports and operating documents of BNPP‑1 and NUREG6850 reports. The results showed that the highest recorded temperature was related to the upper part of the standing cabinet about 1013 °C, which is the result of flames as well as heat transfer through smoke. Also, the other highest recorded temperature was in the lower part of the standing cabinet about 700 °C. Finally, the first ventilation system was closed for about 350 s and the second ventilation system was closed for about 860 s after the fire started."
On the Road to Justice: Some Selected Suggestions for the Future of Social Justice Research,"In this paper, several aspects of social justice research are reviewed to analyze the current state of the field and to suggest refinements and new directions. The micro–macro-levels problem is discussed, including the policy of affirmative action. A canon of relevant philosophers is proposed. The strong influence of justice principles on social change research, search conferences and group interventions are demonstrated. The information value of social justice theories can be strengthened in several ways. Expanded information value implies increased effectiveness of advice and interventions. Possibilities to integrate justice criteria in total quality management are discussed. Contemporary quality management focuses on triple-P criteria: people, planet, profit, highly relevant for basic and applied justice research. The current state of the social justice discipline is rather good, but there is room for improvement. Finally, interdisciplinary research is the future, in particular for studies to solve complex societal and global problems."
The Organizational Underpinnings of Social Justice Theory Development,"Existing psychological theories about justice developed during a classic period when social justice was a core aspect of social psychology. These theories have gone on to have impact on a number of fields concerned with addressing social, political and economic issues. At the same time shifts in the field of psychology have increasingly marginalized social justice scholars, diminishing new theoretical developments. This paper identifies organizational changes that would encourage a new generation of social justice theory researchers, something made important by the increasing number and severity of the justice relevant problems arising in the world."
Basic social justice orientations—measuring order-related justice in the European Social Survey Round 9,"Individuals hold normative ideas about the just distribution of goods and burdens within a social aggregate. These normative ideas guide the evaluation of existing inequalities and refer to four basic principles: (1) Equality stands for an equal distribution of rewards and burdens. While the principle of (2) need takes individual contributions into account, (3) equity suggests a distribution based on merit. The (4) entitlement principle suggests that ascribed (e.g., gender) and achieved status characteristics (e.g., occupational prestige) should determine the distribution of goods and burdens. Past research has argued that preferences for these principles vary with social position as well as the social structure of a society. The Basic Social Justice Orientations (BSJO) scale was developed to assess agreement with the four justice principles but so far has only been fielded in Germany. Round 9 of the European Social Survey (ESS R9 with data collected in 2018/2019) is the first time; four items of the BSJO scale (1 item per justice principle) were included in a cross-national survey program, offering the unique opportunity to study both within and between country variation. To facilitate substantive research on preference for equality, equity, need, and entitlement, this report provides evidence on measurement quality in 29 European countries from ESS R9. Analyzing response distributions, non-response, reliability, and associations with related variables, we find supportive evidence that the four items of the BSJO scale included in ESS R9 produce low non-response rates, estimate agreement with the four distributive principles reliably, and follow expected correlations with related concepts. Researchers should, however, remember that the BSJO scale, as implemented in the ESS R9, only provides manifest indicators, which therefore may not cover the full spectrum of the underlying distributive principles but focus on specific elements of it."
A systematic review and meta-analysis of procedural justice and legitimacy in policing: the effect of social identity and social contexts,"ObjectivesTo systematically review the effect of social identity and social contexts on the association between procedural justice and legitimacy in policing.MethodsA meta-analysis synthesising data from 123 studies (N = 200,966) addressing the relationship between procedural justice and legitimacy in policing. Random effects univariate and two-stage structural equation modelling meta-analyses were performed.ResultsBoth procedural justice and social identity are found to be significantly correlated with police legitimacy. Moreover, social identity significantly mediates, but does not moderate, the association between procedural justice and legitimacy. People of younger age and from more developed countries tend to correlate procedural justice stronger with police legitimacy.ConclusionThis study demonstrates that social identity is an important antecedent of legitimacy and a critical factor in the dynamics of procedural fairness in policing. It also shows that the extent to which procedural justice and legitimacy are correlated varies across social groups and contexts. The theoretical implications of our findings are discussed."
Teachers’ Social Emotional Learning Competencies and Social Justice Teaching Beliefs and Associations with Children’s Prosocial Behavior and Community Engagement,"BackgroundIndividual and collective prosocial competence can be fostered through high-quality interactions with program staff in out-of-school time environments.ObjectiveWe explored whether the social-emotional competencies of teachers working in an out-of-school STEM program infused with social emotional learning content were associated with school children’s prosocial behavior, community engagement, and peer problems and whether these associations were moderated by social justice teaching beliefs and child gender.MethodParticipants were 126 students (72 male). Forty-one were White, 40 were Black, 34 were Latine, and 11 were Asian and most of them were third graders (Mage = 8.11 years). Teachers rated their emotional competence, commitment to social emotional learning, and social justice teaching beliefs. They also provided ratings of children’s prosocial behavior and peer problems. Students provided ratings of their community engagement.ResultsTeachers’ emotional competence was negatively associated with prosocial behavior, but only when their social justice teaching beliefs were low. However, teachers’ commitment to social emotional learning was positively related to prosocial behavior. Teachers’ emotional competence was associated positively with peer problems, but only for girls, and was also related positively to community engagement.ConclusionsResults demonstrate associations between STEM teachers’ social emotional learning competencies and social justice teaching beliefs in the development of students’ prosocial competence and community engagement and provide directions for future research."
Learning to Lead for Equity and Social Justice through Critical Reflection and Autobiography,"In this paper, the authors utilize critical reflection and autobiographical narratives as a pedagogical tool for aspiring school leaders to examine beliefs and assumptions on equity and social justice in an educational leadership preparation program. Comparative themes related to their developing social justice and equity orientations included: (a)Understanding heritage and lived experience in relation to inequity and injustice, (b) Positionality awareness as a meaning making tool for leadership development, and (c) Praxis: Aspiration for action in one’s leadership role. Incorporating pedagogical tools that engage in difficult conversations with the self and the world has the potential to provided avenues for students to become active interpreters of their past histories, current aspirations and heighten their capacity to be active agents of justice."
Focusing on the “Social” in Social Justice Research,"I describe what I see as a very strong connection between fairness perceptions and reactions that show engagement with social entities and social relationships. A brief review of studies on perceived fairness and the fair process effects illustrates how very social is the reaction to fair or unfair treatment—that is,  how perceptions of fairness have a strong impact on how people view their inclusion and safety in the social group or relationship in which the treatment occurs. I suggest that this much-observed connection between fairness and group engagement raises some interesting questions about how perceived fairness affects some traditional group process phenomena. I discuss research questions that arise with respect to fairness and social identity process, fairness and obedience to authority, and fairness and conformity. Investigations of these questions, I argue, would give the field a stronger foundation in the basic social psychology of fairness and it would re-invigorate the groups aspect of social psychology as a discipline."
AI ethics and ordoliberalism 2.0: towards a ‘Digital Bill of Rights’,"This article analyzes AI ethics from a distinct business ethics perspective, i.e., ‘ordoliberalism 2.0.’ It argues that the ongoing discourse on (generative) AI relies too much on corporate self-regulation and voluntary codes of conduct and thus lacks adequate governance mechanisms. To address these issues, the paper suggests not only introducing hard-law legislation with a more effective oversight structure but also merging already existing AI guidelines with an ordoliberal-inspired regulatory and competition policy. However, this link between AI ethics, regulation, and antitrust is not yet adequately discussed in the academic literature and beyond. The paper thus closes a significant gap in the academic literature and adds to the predominantly legal-political and philosophical discourse on AI governance. The paper’s research questions and goals are twofold: first, it identifies ordoliberal-inspired AI ethics principles that could serve as the foundation for a ‘digital bill of rights.’ Second, it shows how those principles could be implemented at the macro level with the help of ordoliberal competition and regulatory policy."
From AI Ethics Principles to Practices: A Teleological Methodology to Apply AI Ethics Principles in The Defence Domain,"This article provides a methodology for the interpretation of AI ethics principles to specify ethical criteria for the development and deployment of AI systems in high-risk domains. The methodology consists of a three-step process deployed by an independent, multi-stakeholder ethics board to: (1) identify the appropriate level of abstraction for modelling the AI lifecycle; (2) interpret prescribed principles to extract specific requirements to be met at each step of the AI lifecycle; and (3) define the criteria to inform purpose- and context-specific balancing of the principles. The methodology presented in this article is designed to be agile, adaptable, and replicable, and when used as part of a pro-ethical institutional culture, will help to foster the ethical design, development, and deployment of AI systems. The application of the methodology is illustrated through reference to the UK Ministry of Defence AI ethics principles."
Reflections on Putting AI Ethics into Practice: How Three AI Ethics Approaches Conceptualize Theory and Practice,"Critics currently argue that applied ethics approaches to artificial intelligence (AI) are too principles-oriented and entail a theory–practice gap. Several applied ethical approaches try to prevent such a gap by conceptually translating ethical theory into practice. In this article, we explore how the currently most prominent approaches of AI ethics translate ethics into practice. Therefore, we examine three approaches to applied AI ethics: the embedded ethics approach, the ethically aligned approach, and the Value Sensitive Design (VSD) approach. We analyze each of these three approaches by asking how they understand and conceptualize theory and practice. We outline the conceptual strengths as well as their shortcomings: an embedded ethics approach is context-oriented but risks being biased by it; ethically aligned approaches are principles-oriented but lack justification theories to deal with trade-offs between competing principles; and the interdisciplinary Value Sensitive Design approach is based on stakeholder values but needs linkage to political, legal, or social governance aspects. Against this background, we develop a meta-framework for applied AI ethics conceptions with three dimensions. Based on critical theory, we suggest these dimensions as starting points to critically reflect on the conceptualization of theory and practice. We claim, first, that the inclusion of the dimension of affects and emotions in the ethical decision-making process stimulates reflections on vulnerabilities, experiences of disregard, and marginalization already within the AI development process. Second, we derive from our analysis that considering the dimension of justifying normative background theories provides both standards and criteria as well as guidance for prioritizing or evaluating competing principles in cases of conflict. Third, we argue that reflecting the governance dimension in ethical decision-making is an important factor to reveal power structures as well as to realize ethical AI and its application because this dimension seeks to combine social, legal, technical, and political concerns. This meta-framework can thus serve as a reflective tool for understanding, mapping, and assessing the theory–practice conceptualizations within AI ethics approaches to address and overcome their blind spots."
A semi-automated software model to support AI ethics compliance assessment of an AI system guided by ethical principles of AI,"Compliance with principles and guidelines for ethical AI has a significant impact on companies engaged in the development of artificial intelligence (AI) systems. Specifically, ethics is a broad concept that continuously evolves over time and across cultural and geographical boundaries. International organisations (IOs), individual states, and private groups, all have an interest in defining the concept of ethics of AI. IOs, as well as regional and national bodies, have issued many decisions on AI ethics. Developing a system that complies with the ethical framework poses a complex challenge for companies, and the consequences of not complying with ethical principles can have severe consequences, making compliance with these requirements a key issue for companies. Furthermore, there is a shortage of technical tools to ensure that such AI systems comply with ethical criteria. The scarcity of ethics compliance checking tools for AI, and the current focus on defining ethical guidelines for AI development, has led us to undertake a proposal consisting in a semi-automated software model to verify the ethical compliance of an AI system’s code. To implement this model, we focus on the following important aspects: (1) a literature review to identify existing ethical compliance systems, (2) a review of principles and guidelines for ethical AI to determine the international and European views regarding AI ethics, and (3) the identification of commonly accepted principles and sub-principles of AI. These elements served to inform (4) our proposal for the design of a semi-automated software for verifying the ethical compliance of AI systems both at design-time (ethics-by-design perspective) and afterwards on the resulting software."
Towards AI ethics’ institutionalization: knowledge bridges from business ethics to advance organizational AI ethics,"This paper proposes to generate awareness for developing Artificial intelligence (AI) ethics by transferring knowledge from other fields of applied ethics, particularly from business ethics, stressing the role of organizations and processes of institutionalization. With the rapid development of AI systems in recent years, a new and thriving discourse on AI ethics has (re-)emerged, dealing primarily with ethical concepts, theories, and application contexts. We argue that business ethics insights may generate positive knowledge spillovers for AI ethics, given that debates on ethical and social responsibilities have been adopted as voluntary or mandatory regulations for organizations in both national and transnational contexts. Thus, business ethics may transfer knowledge from five core topics and concepts researched and institutionalized to AI ethics: (1) stakeholder management, (2) standardized reporting, (3) corporate governance and regulation, (4) curriculum accreditation, and as a unified topic (5) AI ethics washing derived from greenwashing. In outlining each of these five knowledge bridges, we illustrate current challenges in AI ethics and potential insights from business ethics that may advance the current debate. At the same time, we hold that business ethics can learn from AI ethics in catching up with the digital transformation, allowing for cross-fertilization between the two fields. Future debates in both disciplines of applied ethics may benefit from dialog and cross-fertilization, meant to strengthen the ethical depth and prevent ethics washing or, even worse, ethics bashing."
Unveiling public perception of AI ethics: an exploration on Wikipedia data,"Artificial Intelligence (AI) technologies have exposed more and more ethical issues while providing services to people. It is challenging for people to realize the occurrence of AI ethical issues in most cases. The lower the public awareness, the more difficult it is to address AI ethical issues. Many previous studies have explored public reactions and opinions on AI ethical issues through questionnaires and social media platforms like Twitter. However, these approaches primarily focus on categorizing popular topics and sentiments, overlooking the public’s potential lack of knowledge underlying these issues. Few studies revealed the holistic knowledge structure of AI ethical topics and the relations among the subtopics. As the world’s largest online encyclopedia, Wikipedia encourages people to jointly contribute and share their knowledge by adding new topics and following a well-accepted hierarchical structure. Through public viewing and editing, Wikipedia serves as a proxy for knowledge transmission. This study aims to analyze how the public comprehend the body of knowledge of AI ethics. We adopted the community detection approach to identify the hierarchical community of the AI ethical topics, and further extracted the AI ethics-related entities, which are proper nouns, organizations, and persons. The findings reveal that the primary topics at the top-level community, most pertinent to AI ethics, predominantly revolve around knowledge-based and ethical issues. Examples include transitions from Information Theory to Internet Copyright Infringement. In summary, this study contributes to three points, (1) to present the holistic knowledge structure of AI ethics, (2) to evaluate and improve the existing body of knowledge of AI ethics, (3) to enhance public perception of AI ethics to mitigate the risks associated with AI technologies."
How to design an AI ethics board,"The development and deployment of artificial intelligence (AI) systems poses significant risks to society. To reduce these risks to an acceptable level, AI companies need an effective risk management process and sound risk governance. In this paper, we explore a particular way in which AI companies can improve their risk governance: by setting up an AI ethics board. We identify five key design choices: (1) What responsibilities should the board have? (2) What should its legal structure be? (3) Who should sit on the board? (4) How should it make decisions? (5) And what resources does it need? We break each of these questions down into more specific sub-questions, list options, and discuss how different design choices affect the board’s ability to reduce societal risks from AI. Several failures have shown that designing an AI ethics board can be challenging. This paper provides a toolbox that can help AI companies to overcome these challenges."
Embedding responsibility in intelligent systems: from AI ethics to responsible AI ecosystems,"Intelligent systems that are capable of making autonomous decisions based on input from their environment have great potential to do good, but they also raise significant social and ethical concerns. The discourse on ethics and artificial intelligence (AI) has covered these concerns in depth and developed an array of possible ways of addressing them. This article argues that a shortcoming of this discourse is that it concentrates on specific issues and their mitigation but neglects the nature of intelligent systems as socio-technical systems of systems that are often described as ecosystems. Building on the discussion of ethics and AI, the article suggests that it would be beneficial to come to an understanding of what would constitute responsible AI ecosystems. By introducing the concept of meta-responsibility or higher-level responsibility, the article proposes characteristics that an ecosystem would have to fulfil, in order to be considered a responsible ecosystem. This perspective is theoretically interesting because it extends the current AI ethics discourse. It furthermore offers a novel perspective for researchers and developers of intelligent system and helps them reflect on the way they relate to ethical issues."
The ethics of AI business practices: a review of 47 AI ethics guidelines,"Many AI ethics guidelines have recently been published that center the fairness, accountability, sustainability, and transparency of algorithmic decision-making. Relatively few guidelines center the ethics of the business practices and political economies in which AI systems are situated. We present the findings of a semi-systematic literature review and thematic analysis aimed at determining the extent to which the ethics of AI business practices are considered in a large sample of guidelines. Our review reveals that the political and economic implications of AI business practices are greatly underrepresented in AI ethics guidelines. In its current state, AI ethics guidelines focus disproportionately on issues of algorithmic decision-making, while the fairness, accountability, sustainability, and transparency of the business decision-making contexts in which AI systems are situated remain seriously undermined by competitive and speculative norms, ethics washing, corporate secrecy, and other harmful business practices. We discuss these challenges, and we suggest that the ontological and disciplinary scope of future AI ethics guidelines should be expanded to better contend with them."
Ethics in AI through the practitioner’s view: a grounded theory literature review,"The term ethics is widely used, explored, and debated in the context of developing Artificial Intelligence (AI) based software systems. In recent years, numerous incidents have raised the profile of ethical issues in AI development and led to public concerns about the proliferation of AI technology in our everyday lives. But what do we know about the views and experiences of those who develop these systems – the AI practitioners? We conducted a grounded theory literature review (GTLR) of 38 primary empirical studies that included AI practitioners’ views on ethics in AI and analysed them to derive five categories: practitioner awareness, perception, need, challenge, and approach. These are underpinned by multiple codes and concepts that we explain with evidence from the included studies. We present a taxonomy of ethics in AI from practitioners’ viewpoints to assist AI practitioners in identifying and understanding the different aspects of AI ethics. The taxonomy provides a landscape view of the key aspects that concern AI practitioners when it comes to ethics in AI. We also share an agenda for future research studies and recommendations for practitioners, managers, and organisations to help in their efforts to better consider and implement ethics in AI."
AI ethics: from principles to practice,"Much of the current work on AI ethics has lost its connection to the real-world impact by making AI ethics operable. There exist significant limitations of hyper-focusing on the identification of abstract ethical principles, lacking effective collaboration among stakeholders, and lacking the communication of ethical principles to real-world applications. This position paper presents challenges in making AI ethics operable and highlights key obstacles to AI ethics impact. A preliminary practice example is provided to initiate practical implementations of AI ethics. We aim to inspire discussions on making AI ethics operable and focus on its impact on real-world applications."
Mitochondrial gene editing,"Mutations in mitochondrial DNA (mtDNA) are responsible for several severe diseases that have no available cures. The multicopy nature of the mitochondrial genome means that mutations often exist in a state known as heteroplasmy, where both mutant and wild-type mtDNA are present in the same cell. The wild-type mtDNA can functionally compensate for the mutant mtDNA until a mutation threshold is reached, beyond which disease symptoms begin to manifest. Despite the interest mitochondrial genetics has generated, the double mitochondrial membrane proved to be a formidable barrier to genetic manipulation. However, in the past two decades, scientists have discovered that mtDNA could be modified by importing gene editing proteins to target specific DNA sequences. Mitochondria-targeted nucleases specifically cleave and eliminate mutant mtDNA in heteroplasmic cells and in animal models. More recently, base editors have been adapted to modify mtDNA via precise C>T or A>G transitions. Therefore, tools to modify mtDNA are, finally, a reality with the promise to revolutionize the mitochondrial genetics field. This Primer delves into mitochondrial gene editing, providing details on the selection of mitochondrial gene editing tools, best practices for designing experiments, relevant types of analyses and specific applications and limitations pertaining to the different technologies and the field."
Gene Editing for the Treatment of Hypercholesterolemia,"Purpose of ReviewHere, we summarize the key findings from preclinical studies that tested the concept that editing of hepatic genes can lower plasma low-density lipoprotein (LDL)-cholesterol levels to subsequently reduce atherosclerotic cardiovascular disease risk.Recent FindingsSelective delivery of clustered regularly interspaced short palindromic repeats (CRISPR)/CRISPR-associated protein 9 (Cas9)-mediated gene editing tools targeting proprotein convertase subtilisin/kexin type 9 (PCSK9) to hepatocytes, i.e., through encapsulation into N-acetylgalactosamine-coupled lipid nanoparticles, is able to induce a stable ~ 90% decrease in plasma PCSK9 levels and a concomitant 60% reduction in LDL-cholesterol levels in mice and non-humane primates. Studies in mice have shown that this state-of-the-art technology can be extended to include additional targets related to dyslipidemia such as angiopoietin-like 3 and several apolipoproteins.SummaryThe use of gene editors holds great promise to lower plasma LDL-cholesterol levels also in the human setting. However, gene editing safety has to be guaranteed before this approach can become a clinical success."
Multiplexed gene editing in citrus by using a multi-intron containing Cas9 gene,"Several expression systems have been developed in clustered regularly interspaced short palindromic repeats (CRISPR)-associated protein 9 (CRISPR/Cas9) framework allowing for gene editing of disease-associated genes across diverse citrus varieties. In this study, we present a new approach employing a multi-intron containing Cas9 gene plus multiple gRNAs separated with tRNA sequences to target the phytoene desaturase gene in both ‘Carrizo’ citrange and ‘Duncan’ grapefruit. Notably, using this unified vector significantly boosted editing efficiency in both citrus varieties, showcasing mutations in all three designated targets. The implementation of this multiplex gene editing system with a multi-intron-containing Cas9 plus a gRNA-tRNA array demonstrates a promising avenue for efficient citrus genome editing, equipping us with potent tools in the ongoing battle against several diseases such as canker and huanglongbing."
Gene editing and therapy in acquired and inherited cardiovascular disorders,"Gene editing and therapy holds immense promise in addressing cardiovascular disorders by enabling precise modifications to the genetic groundworks of these conditions. This technology offers a targeted approach to correct or mitigate not only the genetic mutations that are responsible for inherited cardiovascular diseases, such as hypertrophic cardiomyopathy or familial hypercholesterolemia (FH), but also in controlling and regulating the genes in conditions that are age-related or that arise due to unnecessary gene activity, which often lack effective treatments. By editing the relevant genes, we aim to reduce disease severity, improve heart function, prevent future episodes and potentially improve the health span. Recent trials involving gene therapy and gene editing in cardiovascular disorders have revolutionized treatment strategies, offering hope for patients with genetic predispositions to heart and vessel-related ailments and advancing the pursuit for more personalized and effective therapies. In this review, we have consolidated the genetic mutations causing cardiovascular diseases (CVDs) followed by latest advancements in the gene editing technologies and their therapeutic implications along with involved ethical challenges and risk factors.Graphical Abstract"
Simulation of dual-purpose chicken breeding programs implementing gene editing,"BackgroundIn spite of being controversial and raising ethical concerns, the application of gene editing is more likely to be accepted when it contributes to improving animal welfare. One of the animal welfare and ethical issues in chicken breeding is chick culling, the killing of the male layer chicks after hatching due to the poor fattening performance. Although establishing dual-purpose chicken lines could solve this problem, unfavorable genetic correlations between egg and meat production traits hindered their competitiveness. Although it is also controversial in ethical terms, gene editing may accelerate genetic progress in dual-purpose chicken and alleviate the ethical concerns from chick culling.ResultsThe simulation compared the utility improvement in dual-purpose use under two breeding schemes: one consisting in the improvement of the laying hens, and the second in the improvement of a synthetic line obtained from a layer broiler cross. In each breeding scheme, the breeding programs were simulated with and without gene editing. Polygenic breeding values and 500 simulated quantitative trait loci (QTL) with different levels of pleiotropy caused negative correlations between egg production, meat production, and overall health. The results of the simulation demonstrated that genetic gain could be accelerated by at most 81% for several generations if gene editing was used. The actual increase in genetic gain depended on the number of single nucleotide polymorphisms (SNPs) being edited per animal. The rate of genetic improvement became equal in scenarios with and without gene editing after 20 generations. This is because the remaining segregating QTL had small effects and their edition would have negative overall health effects from potential off-target edits. Although gene editing can improve genetic gain in quantitative traits, it can only be recommended as long as QTL with reasonable effect sizes are segregating and detectable.ConclusionsThis simulation demonstrates the potential of gene editing to accelerate the simultaneous improvement of negatively correlated traits. When the risk of negative consequences from gene editing persists, the number of SNPs to be edited should be chosen carefully to obtain the optimal genetic gain."
Gene editing tool kit in millets: present status and future directions,"Millets, the sixth most-grown group of crops in the drylands, support the livelihood of many small-holder farmers in the region. Being one of the most nutritious groups of crops, their production has been increasing since the last decade to meet the demands of the world’s ever-increasing population. Since its discovery, CRISPR/Cas-mediated gene editing technology has revolutionized trait improvement in numerous crops by enabling targeted insertions and deletions at specific gene sequences. With advancements like base editing and prime editing, which offer precise modifications at the nucleotide level, this technology holds great promise for enhancing millets by targeting genes responsible for key traits. The updated sequence information in the public domain makes it possible to modify certain genic regions using the CRISPR/Cas-mediated gene editing technology to develop millet crops with improved agronomical properties. The review explores each component of the editing toolbox in millets, including the gRNA designing tools, types of Cas nucleases, and promoters to be considered for enhanced and efficient gene editing in millets. We have discussed fundamental information available to successfully employ CRISPR/Cas-mediated gene editing in millets, such as the availability of genomic information and plant transformation methods. Finally, we have highlighted the limitations of employing this novel technology in millet crops by providing future directions and immediate candidate genes that could be targeted to improve various traits in millet crops.Graphical abstract"
TALE-based organellar genome editing and gene expression in plants,"Key messageTALE-based editors provide an alternative way to engineer the organellar genomes in plants. We update and discuss the most recent developments of TALE-based organellar genome editing in plants.AbstractGene editing tools have been widely used to modify the nuclear genomes of plants for various basic research and biotechnological applications. The clustered regularly interspaced short palindromic repeats (CRISPR)/Cas9 editing platform is the most commonly used technique because of its ease of use, fast speed, and low cost; however, it encounters difficulty when being delivered to plant organelles for gene editing. In contrast, protein-based editing technologies, such as transcription activator-like effector (TALE)-based tools, could be easily delivered, expressed, and targeted to organelles in plants via Agrobacteria-mediated nuclear transformation. Therefore, TALE-based editors provide an alternative way to engineer the organellar genomes in plants since the conventional chloroplast transformation method encounters technical challenges and is limited to certain species, and the direct transformation of mitochondria in higher plants is not yet possible. In this review, we update and discuss the most recent developments of TALE-based organellar genome editing in plants."
Finely tuned ionizable lipid nanoparticles for CRISPR/Cas9 ribonucleoprotein delivery and gene editing,"Nonviral delivery of the CRISPR/Cas9 system provides great benefits for in vivo gene therapy due to the low risk of side effects. However, in vivo gene editing by delivering the Cas9 ribonucleoprotein (RNP) is challenging due to the poor delivery into target tissues and cells. Here, we introduce an effective delivery method for the CRISPR/Cas9 RNPs by finely tuning the formulation of ionizable lipid nanoparticles. The LNPs delivering CRISPR/Cas9 RNPs (CrLNPs) are demonstrated to induce gene editing with high efficiencies in various cancer cell lines in vitro. Furthermore, we show that CrLNPs can be delivered into tumor tissues with high efficiency, as well as induce significant gene editing in vivo. The current study presents an effective platform for nonviral delivery of the CRISPR/Cas9 system that can be applied as an in vivo gene editing therapeutic for treating various diseases such as cancer and genetic disorders."
Application of genome editing techniques to regulate gene expression in crops,"BackgroundEnhanced agricultural production is urgently required to meet the food demands of the increasing global population. Abundant genetic diversity is expected to accelerate crop development. In particular, the development of the CRISPR/Cas genome editing technology has greatly enhanced our ability to improve crop’s genetic diversity through direct artificial gene modification. However, recent studies have shown that most crop improvement efforts using CRISPR/Cas techniques have mainly focused on the coding regions, and there is a relatively lack of studies on the regulatory regions of gene expression.ResultsThis review briefly summarizes the development of CRISPR/Cas system in the beginning. Subsequently, the importance of gene regulatory regions in plants is discussed. The review focuses on recent developments and applications of mutations in regulatory regions via CRISPR/Cas techniques in crop breeding.ConclusionFinally, an outline of perspectives for future crop breeding using genome editing technologies is provided. This review provides new research insights for crop improvement using genome editing techniques."
Advances in miniature CRISPR-Cas proteins and their applications in gene editing,"The CRISPR-Cas system consists of Cas proteins and single-stranded RNAs that recruit Cas proteins and specifically target the nucleic acid. Some Cas proteins can accurately cleave the target nucleic acid under the guidance of the single-stranded RNAs. Due to its exceptionally high specificity, the CRISPR-Cas system is now widely used in various fields such as gene editing, transcription regulation, and molecular diagnosis. However, the huge size of the most frequently utilized Cas proteins (Cas9, Cas12a, and Cas13, which contain 950-1,400 amino acids) can limit their applicability, especially in eukaryotic gene editing, where larger Cas proteins are difficult to deliver into the target cells. Recently discovered miniature CRISPR-Cas proteins, consisting of only 400 to 800 amino acids, offer the possibility of overcoming this limitation. This article systematically reviews the latest research progress of several miniature CRISPR-Cas proteins (Cas12f, Cas12j, Cas12k, and Cas12m) and their practical applications in the field of gene editing."
